class,n_samples,accuracy
C-47,20,0.6
A310,20,0.65
DC-9,20,0.65
DC-8,20,0.65
A330,40,0.675
MD-11,20,0.7
CRJ-200,20,0.7
A300,20,0.7
A380,20,0.75
Boeing 717,20,0.75
Dornier 328,20,0.75
MD-90,20,0.75
DC-10,20,0.75
Boeing 777,40,0.775
MD-80,40,0.775
DC-3,20,0.8
Challenger 600,20,0.8
Boeing 727,20,0.8
Boeing 757,40,0.825
Tu-134,20,0.85
ATR-72,20,0.85
Tu-154,20,0.85
Eurofighter Typhoon,20,0.85
Boeing 707,20,0.85
EMB-120,20,0.85
PA-28,20,0.85
Falcon 2000,20,0.85
Fokker 50,20,0.85
Fokker 70,20,0.9
Fokker 100,20,0.9
An-12,20,0.9
Cessna Citation,40,0.9
L-1011,20,0.9
Global Express,20,0.9
Cessna 208,20,0.9
BAE 146,40,0.925
Boeing 767,60,0.9333333333333333
Embraer E-Jet,60,0.9333333333333333
A320,80,0.9375
Boeing 737,160,0.94375
Saab 2000,20,0.95
F/A-18,20,0.95
Falcon 900,20,0.95
Metroliner,20,0.95
Yak-42,20,0.95
Embraer Legacy 600,20,0.95
DHC-6,20,0.95
ATR-42,20,0.95
Cessna 172,20,0.95
F-16,20,0.95
C-130,20,0.95
Boeing 747,80,0.95
Beechcraft 1900,20,0.95
A340,80,0.9625
Embraer ERJ 145,40,0.975
Dash 8,40,0.975
Gulfstream,40,0.975
Tornado,20,1.0
Spitfire,20,1.0
Saab 340,20,1.0
SR-20,20,1.0
CRJ-700,40,1.0
King Air,20,1.0
Il-76,20,1.0
Hawk T1,20,1.0
DC-6,20,1.0
DH-82,20,1.0
DR-400,20,1.0
BAE-125,20,1.0
DHC-1,20,1.0
